,cod_casa,habitaciones,banos,area,zipcode,precio
518,N55ZE5BT0G3VQX4,4,2.5,1831,94531,389000
520,Q21J3AWMEWA8906,5,3.0,2179,94531,430000
521,T2O40BS80XL2HOE,4,2.5,1662,94531,329900
522,4TZ32KMWZWFY889,4,3.0,1765,94531,349900
523,QGWWUT1PMAHP62G,3,2.0,2012,94531,454999
524,IR65QL0M0DTCTV9,7,4.0,3871,94531,569950
525,WXSRIKY0DRAPIIN,5,3.0,3679,94531,525000
526,T9SV6O07O6HSM08,4,2.5,1794,94531,380000
527,05AML45TCT63MWK,4,3.5,3420,94531,550000
528,WBHW5AM63U8KZ0J,4,3.0,2506,94531,449950
529,IEQO5KRHCSPN7C4,4,2.5,2236,94531,495000
530,Y690NX165ESH8MZ,5,2.0,2066,94531,399900
531,4MYB1A4FTM1NB2C,4,3.5,9536,94531,460000
533,MFROTT3IVB78DFG,4,3.0,2312,94531,419000
